"created_at","id_str","full_text","quote_count","reply_count","retweet_count","favorite_count","lang","user_id_str","conversation_id_str","username","tweet_url","image_url","location"
"Sun Dec 03 04:18:27 +0000 2023","1731165980548898862","Pak SBY turun gunung di Jawa Timur untuk memenangkan Pak Prabowo!   Menangkan Prabowo 🫰 Menangkan Demokrat 💙 https://t.co/H8CspMxPY4","0","1","5","8","in","931419055549906944","1731165980548898862","Hasbil_Lbs","https://twitter.com/Hasbil_Lbs/status/1731165980548898862","https://pbs.twimg.com/ext_tw_video_thumb/1731165452045549568/pu/img/H3ds75G-aWGGHeDP.jpg","Jakarta Capital Region, Indone"
"Sun Dec 03 03:57:50 +0000 2023","1731160789707628938","Mari kita pensiunkan gaes  Pak prabowo sudah tua  jangan kasih beban yang berat lagi  kasian 😣😣  We love you pak @prabowo https://t.co/fTLXAdylRk","1","8","13","26","in","947632364003368961","1731160789707628938","KangManto123","https://twitter.com/KangManto123/status/1731160789707628938","https://pbs.twimg.com/media/GAZRkExbIAAG_gw.jpg","Kerajaan, Indonesia"
"Sun Dec 03 02:42:34 +0000 2023","1731141848876601397","reaksiku ketika prabowo kalah lagi dan Jokowi sekeluarga masuk penjara https://t.co/Fvj5AnnbV1","2","7","25","102","in","1689095684895772672","1731141848876601397","anonjawa","https://twitter.com/anonjawa/status/1731141848876601397","https://pbs.twimg.com/media/GAZAN-ZbEAAUE8p.jpg","Jawa"
"Sun Dec 03 04:19:58 +0000 2023","1731166361169355050","dia muda nya ganteng dan kaya loh  kalo org lain mungkin udh nikah berkali2 kali ya... tapi dia setia bgt 🥲  Wanita paling istimewa di hati pak prabowo..  Definisi setia pak Prabowo: Kalau tidak bisa bersamanya  maka tidak dengan siapapun❤️ https://t.co/WRP0nNO6CI","0","0","2","3","in","1530146266822258688","1731166361169355050","zy_zy_its_me","https://twitter.com/zy_zy_its_me/status/1731166361169355050","https://pbs.twimg.com/ext_tw_video_thumb/1731166106684157952/pu/img/roqShpwLbjd3nImj.jpg","DKI Jakarta, Indonesia"
"Sun Dec 03 02:57:50 +0000 2023","1731145691882508576","Suara Masif untuk Prabowo-Gibran  Seperti kebohongan  penyalahgunaan kekuasaan menuntut penyalahgunaan kekuasaan lain untuk menutupinya.  #majalahtempo https://t.co/L79q0WHQvj https://t.co/vD2jsybkKT","24","34","172","346","in","88352716","1731145691882508576","temponewsroom","https://twitter.com/temponewsroom/status/1731145691882508576","https://pbs.twimg.com/media/GAZBIhNawAAJV_J.jpg","Indonesia"
"Sun Dec 03 01:22:42 +0000 2023","1731121751512555867","Pak Prabowo Bersama Pendukung Beliau Yang Sekaligud Antek² Israel.   Pasti Kampret² Bangga karena bisa satu Gerbong dengan Abu Janda.   Oh iya  kampret² duduk sebelah mana  ya? Kok ga kelihatan? https://t.co/Ysf7h978Kk","0","8","27","40","in","1566046733918150656","1731121751512555867","zen_arnaout","https://twitter.com/zen_arnaout/status/1731121751512555867","https://pbs.twimg.com/media/GAYuDvTakAAYayM.jpg",""
"Sat Dec 02 09:54:39 +0000 2023","1730888197113250024","Memang ini waktunya mendukung pak prabowo. Ayo semua bergabung. !! https://t.co/55ldfzoWgH","38","311","70","295","in","120968478","1730888197113250024","Fahrihamzah","https://twitter.com/Fahrihamzah/status/1730888197113250024","https://pbs.twimg.com/ext_tw_video_thumb/1730888097653796864/pu/img/B5lseRRQSZvgRAn4.jpg","Jakarta"
"Sat Dec 02 16:47:25 +0000 2023","1730992073644597485","Harusnya dia ngomong: angka yg luar biasa. Tidak banyak orang yg bisa mencapai usia 89 tahun. Bonusnya sudah banyak. Getooo Genjer! Beda Ganjar  anis  Prabowo....Ganjar seperti menghina orang tua usia 89 tahun https://t.co/G9D2zF6KKd","1","2","6","24","in","1530146266822258688","1730992073644597485","zy_zy_its_me","https://twitter.com/zy_zy_its_me/status/1730992073644597485","https://pbs.twimg.com/ext_tw_video_thumb/1730991732660314112/pu/img/LmSTgML235faxBFF.jpg","DKI Jakarta, Indonesia"
"Sun Dec 03 04:21:47 +0000 2023","1731166817501290913","Kubu Prabowo cuma mikirin beli SUARA  nggak peduli DEMOKRASI... https://t.co/maeSu3rsId","0","1","3","7","in","797761417894051840","1731166817501290913","MarahIchsan","https://twitter.com/MarahIchsan/status/1731166817501290913","https://pbs.twimg.com/ext_tw_video_thumb/1731166764556505088/pu/img/zK5ukvEIeJQgcMRr.jpg",""
"Sat Dec 02 14:00:44 +0000 2023","1730950127509184978","Tolong jangan kasih tau Pak @prabowo 🤫 https://t.co/E8yaQKVVhs","3","5","62","178","in","1157723622284263424","1730950127509184978","Twillight_Loid","https://twitter.com/Twillight_Loid/status/1730950127509184978","https://pbs.twimg.com/ext_tw_video_thumb/1730950098572705792/pu/img/dGh1Pp29Ic6cK4ng.jpg","Denpasar, Bali"
"Sun Dec 03 01:22:01 +0000 2023","1731121578308678012","Selamat pagi sobat xland     Berpolitik secukupnya  Ber kawan selamanya 😊  Mari kita sukseskan pemilu 14 feb 2024  Hemat anggaran Prabowo Gibran menang satu putaran 🫰 https://t.co/ogKkSY8fmb","4","15","16","32","in","815290931003826176","1731121578308678012","blantik_pedhet1","https://twitter.com/blantik_pedhet1/status/1731121578308678012","https://pbs.twimg.com/media/GAYt5qmbEAAWtSX.jpg","DKI Jakarta, Indonesia"
"Sun Dec 03 04:04:36 +0000 2023","1731162494339870863","Temuan PS soal Food Estate. PS yg dimaksud disini Partai Socmed yaa bukan Prabowo Subianto..bukan..!! https://t.co/998DaQf7Wi","0","0","7","11","in","228628424","1731162494339870863","AirinDatangLagi","https://twitter.com/AirinDatangLagi/status/1731162494339870863","https://pbs.twimg.com/media/GAZTHVDbEAA9s4a.jpg","ÜT: -6.1389099,106.7214539"
"Fri Dec 01 13:20:51 +0000 2023","1730577703508779090","Semua bisa diatur...Tenang pak Prabowo  saya sudah ada di sini.  😁😁🤭 https://t.co/gBHvmnUCIB","59","367","433","1467","in","84221579","1730577703508779090","narkosun","https://twitter.com/narkosun/status/1730577703508779090","https://pbs.twimg.com/media/GAQ_Pvbb0AAK6ED.jpg","Indonesia"
"Sun Dec 03 02:12:31 +0000 2023","1731134288580755470","Apa saja manfaat makan siang dan susu gratis programnya pak  @prabowo @gibran_tweet  ?  Cekidot. https://t.co/apaY3qne4N","0","2","7","14","in","1347031551771430912","1731134288580755470","genx36545403","https://twitter.com/genx36545403/status/1731134288580755470","https://pbs.twimg.com/media/GAY5crXaAAA9qZW.jpg","Tanjung Priok, Indonesia"
"Sat Dec 02 10:54:40 +0000 2023","1730903302400029179","Edun rahasia Prabowo dibuka Jokowi https://t.co/pbKvDGArYA","24","26","297","409","in","30201110","1730903302400029179","alisyarief","https://twitter.com/alisyarief/status/1730903302400029179","https://pbs.twimg.com/ext_tw_video_thumb/1730903261824319488/pu/img/a0E_IyF_xcovAeIv.jpg","-6.252543,106.806343"
"Sun Dec 03 04:10:38 +0000 2023","1731164010018668856","Perbandingan Pesan Prabowo dan Ganjar ke masing-masing Pendukungnya... https://t.co/GWD6a1Y2X0","1","3","3","15","in","797761417894051840","1731164010018668856","MarahIchsan","https://twitter.com/MarahIchsan/status/1731164010018668856","https://pbs.twimg.com/ext_tw_video_thumb/1731163950337933312/pu/img/Lg7o9T-xPGdNf741.jpg",""
"Sun Dec 03 01:15:04 +0000 2023","1731119827681735027","Eng Ing Eng  Ternyata bukan Paslon Prabowo-Gibran yang mengajukan pembatalan debat Cawapres  ternyata Paslon lainlah yang mengajukan penolakan debat Cawapres. https://t.co/GLkevtWH0h","17","118","50","105","in","1523245126784413696","1731119827681735027","Chaves1305","https://twitter.com/Chaves1305/status/1731119827681735027","https://pbs.twimg.com/ext_tw_video_thumb/1731119797260410880/pu/img/RcvgY3_vCHUqTymc.jpg",""
"Sun Dec 03 00:38:03 +0000 2023","1731110512531063191","Ayo gabung di Paslon Prabowo-Gibran ! Mari ber-kampanye riang gembira !!! https://t.co/Q6ouNygr9K","2","1","9","27","in","1653016001834000385","1731110512531063191","NilaWati375469","https://twitter.com/NilaWati375469/status/1731110512531063191","https://pbs.twimg.com/ext_tw_video_thumb/1731110475583377408/pu/img/BUVOs8Qcj42pz6mt.jpg",""
"Fri Dec 01 16:47:24 +0000 2023","1730629680712347705","Waduh  Apa Prabowo dan Jokowi mengkampanyekan Anies Presiden di kota Solo ya! https://t.co/rQia320s9A","14","20","88","153","in","964364028","1730629680712347705","iman100017","https://twitter.com/iman100017/status/1730629680712347705","https://pbs.twimg.com/ext_tw_video_thumb/1730629654086905858/pu/img/kru45h3zUbSd4qIp.jpg",""
"Sat Dec 02 23:54:51 +0000 2023","1731099640244945082","Ciri ciri orang ora konsisten salah satunya adalah : ketampol jejak digital sendiri.  Umumnya pendukung Prabowo.","10","54","130","529","in","1270980383761330176","1731099640244945082","Tan_Mar3M","https://twitter.com/Tan_Mar3M/status/1731099640244945082","",""
"Sun Dec 03 01:13:35 +0000 2023","1731119456930390336","Setelah kemarin sy posting foto Haikal Hasan yg hadir di acara kampanye Prabowo atau 02  byk yg menyimpulkan kelompok radikal kembali ada di sana semua.  Sepertinya ga begitu juga Krn faktanya Yusuf martak ada dibarisan Anies atau 01.  Makanya dr awal sy bilang  Ganjar Mahfud… https://t.co/j6SE9718bj","4","97","94","298","in","154435354","1731119456930390336","ch_chotimah2","https://twitter.com/ch_chotimah2/status/1731119456930390336","https://pbs.twimg.com/media/GAYr-MgaoAAC5sc.jpg","Kalimantan Timur, Indonesia"
"Sun Dec 03 02:21:44 +0000 2023","1731136606311165985","Denny Siregar menjadi pengkritik Jokowi dan Ade Armando menjadi pendukung Prabowo adalah bagian dari komedi politik hari-hari ini.  Takada urusan dengan perubahan kesadaran. Takada kaitan dengan pergeseran nilai. Takada hubungan dengan keteguhan prinsip.  Ini hanya soal: ada…","19","51","230","719","in","478829168","1731136606311165985","denismalhotra","https://twitter.com/denismalhotra/status/1731136606311165985","","Bekasi Timur, Indonesia"
"Sat Dec 02 01:41:23 +0000 2023","1730764063217709537","WADUH   TAKUT KAMPANYE...  PRABOWO DAN GIBRAN DISEBUT MENGHINDAR DARI KAMPANYE....‼️  #KPUKacungIstana #KPUKacungIstana 🆘🆗 https://t.co/lc0GvN9p0j","2","10","77","79","in","1679184284098367489","1730764063217709537","P3n99u94t_","https://twitter.com/P3n99u94t_/status/1730764063217709537","https://pbs.twimg.com/ext_tw_video_thumb/1730764012344991744/pu/img/W3NR126qd766VHRZ.jpg",""
"Sat Dec 02 02:16:21 +0000 2023","1730772861533724778","Tim Prabowo dan KPU jangan merendahkan Gibran sehingga debat Cawapres dihilangkan..  Gibran ini jagoan dalam berdebat..  Apa kalian ga takut Singapura dan Australia kesal karena alumninya ini kalian anggap ga berani debat seorang diri melawan Muhaimin dan Mahfud MD?! https://t.co/Hy1ki2kyIR","14","85","99","361","in","214159664","1730772861533724778","Paltiwest","https://twitter.com/Paltiwest/status/1730772861533724778","https://pbs.twimg.com/ext_tw_video_thumb/1730772743858376705/pu/img/zjdEL_MyyhDKNTFH.jpg","Medan dan Jakarta, Indonesia"
"Sun Dec 03 03:14:27 +0000 2023","1731149871829418103","Jd sebelum lembaga survey itu mensurvey masyarakat sblm di survei ada bantuan dulu diguyur lgsg spesifik ke arah responden.  Jk berpijak dr info ini. Jd paham kan kalian knp semua lembaga survei menangkan paslon prabowo. @Bambangelf @BangPino__ @bonnietriyana @chicohakim… https://t.co/hcS72QeVfK","3","9","40","52","in","312049767","1731149871829418103","UmarSyadatHsb__","https://twitter.com/UmarSyadatHsb__/status/1731149871829418103","https://pbs.twimg.com/amplify_video_thumb/1731149707391676416/img/5mkrqob4YBJVZnrn.jpg","DKI Jakarta"
"Sun Dec 03 02:32:08 +0000 2023","1731139222478954541","Ini di NTB sappo  bukan Jawa Tengah tapi daerah lumbung suara Prabowo di pilpres kemarin.  Lihat sambutan luar biasa dari warga terhadap Ganjar yg sedang olah raga pagi  tanpa perlu bagi-bagi doorprize atau amplop.  Optimis kita akn kembali kalahkan Prabowo dan kelompok radikal. https://t.co/XS5Y7Geczx","0","2","54","120","in","1356517931887120384","1731139222478954541","Anak__Ogi","https://twitter.com/Anak__Ogi/status/1731139222478954541","https://pbs.twimg.com/ext_tw_video_thumb/1731139145362526208/pu/img/rEKur_XSXBa3Y-ef.jpg","Indonesia"
"Sun Dec 03 04:05:56 +0000 2023","1731162828575506521","Ketumnya arogan. Capresnya suka menghina profesi. Kampanye nya menjunjung demokrasi tapi selalu mengancam yg lain jika merasa dipojokkan.  Treaknya Orde Baru Reborn ke pasangan @prabowo @gibran tapi kelakuan kubu mereka sendiri mencerminkan OrBa.  Ini mah maling treak maling 🤗 https://t.co/BcQUTNeYWY","1","2","5","8","in","834268510939287552","1731162828575506521","ApriliaLin","https://twitter.com/ApriliaLin/status/1731162828575506521","https://pbs.twimg.com/ext_tw_video_thumb/1731162794522025985/pu/img/u1eJkasdtX9q8O3-.jpg","DKI Jakarta, Indonesia"
"Sat Dec 02 12:16:51 +0000 2023","1730923984122982593","Bersama Mas AHY  dan Kang Emil  Pak Prabowo Hari ini Kampanye Di Tasikmalaya   #PrabowoGibran https://t.co/w6wq61yqOo","5","38","33","95","in","1258626853541052421","1730923984122982593","ajengcute16__","https://twitter.com/ajengcute16__/status/1730923984122982593","https://pbs.twimg.com/ext_tw_video_thumb/1730923930398134272/pu/img/-bZa8v2STzcE7mgb.jpg","Dihati mu 💙"
"Sat Dec 02 11:44:43 +0000 2023","1730915899287441819","Seru ya kampanye hari pertama Pak Prabowo di tasikmalaya  ada Kang RK dan Mas AHY juga lho 😃🫰 https://t.co/fOSlLRYTYM","11","56","67","157","in","931419055549906944","1730915899287441819","Hasbil_Lbs","https://twitter.com/Hasbil_Lbs/status/1730915899287441819","https://pbs.twimg.com/ext_tw_video_thumb/1730915866995552256/pu/img/wOf4kzO7vdx80pya.jpg","Jakarta Capital Region, Indone"
"Sat Dec 02 03:22:24 +0000 2023","1730789485687025880","random banget sialan mimpi lahiran sesar tapi yang bedah prabowo","533","523","1230","12160","in","1118848545455394816","1730789485687025880","xxtravert","https://twitter.com/xxtravert/status/1730789485687025880","",""
"Fri Dec 01 11:48:19 +0000 2023","1730554414401036474","Mohon doa restu  Auranya menang besar  Rakyat nampaknya ingin Pak Prabowo-Gibran menang langsung. 🙏😀🩵 https://t.co/RUDPIjdM5T","61","605","101","455","in","120968478","1730554414401036474","Fahrihamzah","https://twitter.com/Fahrihamzah/status/1730554414401036474","https://pbs.twimg.com/ext_tw_video_thumb/1730554367915470848/pu/img/QzC4qVtEHNxlMj65.jpg","Jakarta"
"Sat Dec 02 15:26:42 +0000 2023","1730971761876107409","Prabowo memang ORBA orang Banyumas   Dan ORLA  orang Langowan https://t.co/07e4fXGzCQ","0","1","4","23","in","2651602135","1730971761876107409","KEBUMENinLOVE","https://twitter.com/KEBUMENinLOVE/status/1730971761876107409","https://pbs.twimg.com/ext_tw_video_thumb/1730971708671299584/pu/img/Rkos16pIICEfUxiQ.jpg","Kebumen "
"Sat Dec 02 23:58:28 +0000 2023","1731100549733634332","pukulan untuk kubu Prabowo-Gibran:   1. skandal MK 2. riwayat penculik 3.  ngumpet saat uji publik 4. adanya pengakuan Agus Rahardjo dan Firli Bahuri soal intervensi kekuasaan di KPK; 5. liputan Tempo soal Polisi  Iriana dan Jokowi  Usman 6. debat cawapres dihilangkan 7. poster…","7","1","55","161","in","1296382061758955520","1731100549733634332","WinnerWave_","https://twitter.com/WinnerWave_/status/1731100549733634332","","Bandung, Indonesia"
"Sun Dec 03 02:19:55 +0000 2023","1731136150532968678","Jangan terlalu underestimate  meremehkan Gibran dalam debat capres cawapres  klo dalam debat di forum publik yang pertanyaanya variatif ya Gibran blm ada bukti tapi dalam debat KPU polanya berbeda  Dulu kita meremehkan Jokowi  bahwa Prabowo akan jauh unggul dalam debat …","9","127","63","340","in","1068371293290946561","1731136150532968678","BosPurwa","https://twitter.com/BosPurwa/status/1731136150532968678","","Warteg"
"Sat Dec 02 10:07:21 +0000 2023","1730891395844722794","Kebersamaan Mas Ketum AHY &amp; Capres Pak Prabowo menyapa warga Tasikmalaya Jawa Barat   #DemokratBersamaPrabowo https://t.co/f8iLjXaYri","2","23","25","70","in","966528152955625472","1730891395844722794","AHYS14P","https://twitter.com/AHYS14P/status/1730891395844722794","https://pbs.twimg.com/media/GAVcjFIaEAAzs2U.jpg",""
"Sat Dec 02 21:45:55 +0000 2023","1731067193822220337","Ku yakin kau bisa.... Ku yakin kau bisa Menang... Kami selalu ada disini... Disini kami ada untukmu... Ku yakin kau bisa.... Ku yakin kau bisa menang... Kami selalu ada disini... Disini kami ada untukmu...  Yel yel Maung Bandung menggema menyambut Pak @prabowo di tanah Pasundan. https://t.co/qul76YIaq6","1","17","19","58","in","1603498565548277760","1731067193822220337","Kenikir27","https://twitter.com/Kenikir27/status/1731067193822220337","https://pbs.twimg.com/ext_tw_video_thumb/1731067132597923840/pu/img/gBZhNJ4H4XW3MID7.jpg","Duren Sawit, DKI, Indonesia"
"Fri Dec 01 10:56:57 +0000 2023","1730541486872412671","TANGAN BESI JOKOWI DI BALIK SUKSESI PRABOWO-GIBRAN....‼️  #GibranBagi2DuitBawasluDiam #GibranBagi2DuitBawasluDiam 🆘🆗 https://t.co/DkhEdZfmmQ","5","5","84","78","in","1679184284098367489","1730541486872412671","P3n99u94t_","https://twitter.com/P3n99u94t_/status/1730541486872412671","https://pbs.twimg.com/ext_tw_video_thumb/1730541418979143680/pu/img/jushhuXj-1ctlNgG.jpg",""
"Fri Dec 01 22:34:55 +0000 2023","1730717136564478222","Kurang baek apa coba Prabowo sama kalian.demi menyenangkan hasrat kedengkian kalian beliau bukan hanya ORBA tapi jg ORLA.mental kerupuk mending gak usah coba2 serang beliau lah😂 gak kuat bro.  Beda kualitas sama capres kalian yang CENGENG dan BAPERAN itu 😄 https://t.co/noWnBRotc7","10","36","30","95","in","1462319970184929284","1730717136564478222","G0mb4k","https://twitter.com/G0mb4k/status/1730717136564478222","https://pbs.twimg.com/ext_tw_video_thumb/1730717100216578049/pu/img/lqvY75rGsiHopE-K.jpg",""
"Fri Dec 01 19:04:26 +0000 2023","1730664169689714758","You’re always on my mind @prabowo ❤️❤️❤️✌🏼✌🏼✌🏼. #temanprabowosubianto🇨🇭✌🏼 https://t.co/YxrM75wKfN","0","7","5","25","en","1695192728173187072","1730664169689714758","drReUtari08","https://twitter.com/drReUtari08/status/1730664169689714758","https://pbs.twimg.com/ext_tw_video_thumb/1730664123107864579/pu/img/o5FXKMq4aSxB8YID.jpg",""
"Sun Dec 03 01:42:01 +0000 2023","1731126612916310086","@adearmando61 Alasan saya tidak dukung prabowo krn alasan ini juga. https://t.co/yDZsIBFRjn","1","3","5","21","in","1336682407164985344","1731113916716241328","AsepToha1977","https://twitter.com/AsepToha1977/status/1731126612916310086","https://pbs.twimg.com/ext_tw_video_thumb/1731126593786122240/pu/img/fI368J1971L7ybMt.jpg","Cianjur, Indonesia"
"Sat Dec 02 02:09:22 +0000 2023","1730771104070037666","DOSA BESAR PENYALAH GUNAAN WEWENANG...  PRABOWO-GIBRAN DAN MAHFUD MD DIDESAK MUNDUR DARI JABATAN JELANG PILPRES....‼️  #KPUKacungIstana #KPUKacungIstana 🆘🆗 https://t.co/fMiPn1pGfh","6","3","52","73","in","1679184284098367489","1730771104070037666","P3n99u94t_","https://twitter.com/P3n99u94t_/status/1730771104070037666","https://pbs.twimg.com/ext_tw_video_thumb/1730771077989863424/pu/img/LeaHUe9Zh16HRAcJ.jpg",""
"Sun Dec 03 00:51:07 +0000 2023","1731113799586099516",""Menhan Prabowo terduga korupsi pada kasus impor pesawat tempur.  Kenapa dia masih bebas nyapres? Apa gak ada yang lebih mampu daripada dia?" (NCW)  Ramaikan capres terduga korupsi!  #BenamkanPrabowoGibran  #BenamkanPrabowoGibran https://t.co/1ydxOEhMGc","3","3","107","149","in","1647311678160384007","1731113799586099516","MichelAdam7__","https://twitter.com/MichelAdam7__/status/1731113799586099516","https://pbs.twimg.com/ext_tw_video_thumb/1731113766593699840/pu/img/23RQNhLzwSoLWMTJ.jpg",""
"Fri Dec 01 16:59:07 +0000 2023","1730632629656186921","Tenang Pak Prabowo  semua sudah di atur sama bapak saya 👋😎 https://t.co/En63vp8XnV","3","10","35","97","in","1186243531037270017","1730632629656186921","msobri99","https://twitter.com/msobri99/status/1730632629656186921","https://pbs.twimg.com/media/GARxM9jaQAA470Q.jpg",""
